no;wages;education;age;sex;language;resp;id;age;smoke
1;10.56;15;40;Male;English;0;0;-2;0
2;11;13.2;19;Male;English;0;0;-1;0
3;NA;16;49;Male;Other;0;0;0;0
4;17.76;14;46;Male;Other;0;0;1;0
5;NA;8;71;Male;English;0;1;-2;0
6;14;16;50;Female;English;0;1;-1;0
7;NA;12;70;Female;English;0;1;0;0
8;NA;14.5;42;Female;English;0;1;1;0
9;8.2;15;31;Male;English;0;2;-2;0
10;NA;10;56;Female;English;0;2;-1;0
11;NA;12.5;71;Female;English;0;2;0;0
12;16.97;13.5;30;Female;English;0;2;1;0
13;NA;2;56;Male;English;0;3;-2;0
14;6.7;12;61;Female;English;0;3;-1;0
15;NA;12;25;Female;English;0;3;0;0
16;NA;11;36;Female;French;0;3;1;0
17;NA;11;54;Female;English;0;4;-2;0
18;NA;10;62;Female;English;0;4;-1;0
19;NA;10.5;70;Female;English;0;4;0;0
20;14;14;46;Female;Other;0;4;1;0
21;NA;8;49;Female;English;0;5;-2;0
22;NA;8;34;Male;Other;0;5;-1;0
23;NA;11;17;Male;English;0;5;0;0
24;NA;17;85;Female;English;0;5;1;0
25;19.2;18;43;Male;English;0;6;-2;0
26;7.25;11;17;Male;English;0;6;-1;0
27;NA;11;77;Female;English;0;6;0;0
28;NA;13;70;Male;English;0;6;1;0
29;16;7;46;Male;Other;0;7;-2;0
30;23;14;32;Male;English;0;7;-1;0
31;36.11;17;35;Male;English;0;7;0;0
32;NA;13;89;Male;Other;0;7;1;0
33;NA;8;68;Male;English;0;8;-2;0
34;NA;10;72;Male;English;0;8;-1;0
35;NA;11;16;Female;English;0;8;0;0
36;NA;6;58;Female;Other;0;8;1;0
37;20.16;20;39;Male;English;0;9;-2;0
38;12.61;13;32;Male;English;0;9;-1;0
39;NA;11;64;Female;English;0;9;0;0
40;NA;10;53;Female;English;0;9;1;0
41;NA;8;72;Male;English;0;10;-2;0
42;NA;19;38;Female;English;0;10;-1;0
43;13.65;19;30;Female;English;0;10;0;0
44;9;13.8;20;Female;English;0;10;1;0
45;NA;11;19;Female;English;0;11;-2;0
46;NA;11;18;Female;English;0;11;-1;0
47;18.07;13.6;48;Male;Other;0;11;0;0
48;NA;10;66;Female;English;0;11;1;0
49;NA;12;52;Female;English;0;12;-2;0
50;NA;13;39;Female;English;0;12;-1;0
51;NA;NA;24;Female;NA;0;12;0;0
52;6.35;NA;16;Male;English;0;12;1;0
53;NA;20;67;Male;English;0;13;-2;0
54;16.01;19;39;Female;English;0;13;-1;0
55;26.4;12.7;38;Male;English;0;13;0;0
56;NA;14;63;Female;English;0;13;1;0
57;20.65;19;37;Male;English;0;14;-2;0
58;NA;9;32;Male;English;0;14;-1;0
59;NA;18.8;59;Female;English;0;14;0;0
60;NA;13;70;Male;English;0;14;1;0
61;23.04;19;37;Female;English;0;15;-2;0
62;24.03;18.3;31;Male;English;0;15;-1;0
63;12;14;46;Female;English;0;15;0;0
64;25.6;13;41;Male;English;0;15;1;0
65;NA;14;28;Female;Other;0;16;-2;0
66;6.85;15.6;31;Female;English;0;16;-1;0
67;NA;16;52;Female;English;0;16;0;0
68;15;12;40;Male;English;0;16;1;0
69;NA;14;32;Female;Other;0;17;-2;0
70;NA;7;77;Male;English;0;17;-1;0
71;9.75;8;60;Male;English;0;17;0;0
72;NA;8;53;Female;English;0;17;1;0
73;6.7;11;17;Female;English;0;18;-2;0
74;NA;18;57;Male;English;0;18;-1;0
75;15;17;39;Male;English;0;18;0;0
76;NA;1;49;Female;English;0;18;1;0
77;NA;12;49;Female;English;0;19;-2;0
78;10.5;13.5;24;Male;English;0;19;-1;0
79;13.26;12;52;Female;English;0;19;0;0
80;17.75;18;34;Male;English;0;19;1;0
81;NA;8;91;Female;English;0;20;-2;0
82;14.26;12;34;Female;English;0;20;-1;0
83;18.05;15;34;Male;English;0;20;0;0
84;NA;20;58;Male;English;0;20;1;0
85;NA;12;73;Female;Other;0;21;-2;0
86;NA;12.5;40;Male;English;0;21;-1;0
87;NA;12;35;Female;English;0;21;0;0
88;18.39;9;40;Male;English;0;21;1;0
89;18.92;10.5;48;Male;English;0;22;-2;0
90;20.64;19;39;Male;English;0;22;-1;0
91;NA;10;69;Male;Other;0;22;0;0
92;15.49;14;33;Female;English;0;22;1;0
93;10.4;13;62;Female;English;0;23;-2;0
94;NA;18;70;Female;English;0;23;-1;0
95;15.39;15;28;Female;English;0;23;0;0
96;16.8;12.5;36;Male;English;0;23;1;0
97;NA;10;42;Male;English;0;24;-2;0
98;15.36;20;47;Female;English;0;24;-1;0
99;NA;12.5;19;Male;English;0;24;0;0
100;NA;10;16;Male;English;0;24;1;0
101;17.98;12;53;Female;English;0;25;-2;0
102;NA;4;69;Female;Other;0;25;-1;0
103;NA;7;77;Male;Other;0;25;0;0
104;NA;14;48;Female;English;0;25;1;0
105;6.7;14;20;Male;English;0;26;-2;0
106;5;11;17;Male;Other;0;26;-1;0
107;12;12.8;20;Male;English;0;26;0;0
108;6.66;15.5;31;Female;English;0;26;1;0
109;NA;9.3;46;Female;French;0;27;-2;0
110;14;13.5;53;Female;Other;0;27;-1;0
111;25.6;14;34;Male;English;0;27;0;0
112;18.43;17;28;Male;Other;0;27;1;0
113;11.5;12;48;Female;Other;0;28;-2;0
114;14;8;27;Male;English;0;28;-1;0
115;NA;8;84;Female;English;0;28;0;0
116;6.03;14;22;Male;Other;0;28;1;0
117;NA;18;47;Male;English;0;29;-2;0
118;NA;12.5;51;Female;English;0;29;-1;0
119;8.23;13;45;Female;English;0;29;0;0
120;NA;13;22;Female;English;0;29;1;0
121;NA;12;71;Male;English;0;30;-2;0
122;15.36;11;51;Female;French;0;30;-1;0
123;NA;13;60;Female;English;0;30;0;0
124;13.75;8.5;57;Male;English;0;30;1;0
125;NA;14;37;Female;English;0;31;-2;0
126;7.44;9;34;Male;English;0;31;-1;0
127;24.96;18;44;Female;English;0;31;0;0
128;33.18;20;54;Male;English;0;31;1;0
129;NA;13;19;Male;English;0;32;-2;0
130;NA;11;81;Female;English;0;32;-1;0
131;11.59;13.4;26;Male;English;0;32;0;0
132;NA;19;73;Male;English;0;32;1;0
133;14.09;14;33;Male;English;0;33;-2;0
134;NA;13;62;Male;English;0;33;-1;0
135;23.52;13;32;Male;English;0;33;0;0
136;15.84;12;48;Male;English;0;33;1;0
137;23.72;9.5;50;Male;English;0;34;-2;0
138;8.37;12.5;65;Female;English;0;34;-1;0
139;NA;8;32;Male;French;0;34;0;0
140;NA;9.5;47;Female;French;0;34;1;0
141;NA;12;24;Female;English;0;35;-2;0
142;10.2;12;26;Female;English;0;35;-1;0
143;7.61;14;23;Female;English;0;35;0;0
144;NA;7;57;Male;Other;0;35;1;0
145;NA;13;62;Female;Other;0;36;-2;0
146;NA;10.5;63;Male;English;0;36;-1;0
147;NA;13;37;Female;English;0;36;0;0
148;6.75;10;21;Male;English;0;36;1;0
149;25.91;14;35;Female;English;0;37;-2;0
150;NA;8;66;Female;English;0;37;-1;0
151;NA;15;35;Female;English;0;37;0;0
152;NA;14;33;Male;English;0;37;1;0
153;NA;12;19;Male;French;0;38;-2;0
154;15.94;13.2;35;Female;English;0;38;-1;0
155;6.71;13;28;Male;English;0;38;0;0
156;20.79;12;34;Female;English;0;38;1;0
157;NA;9;59;Female;English;0;39;-2;0
158;8.75;12;49;Female;English;0;39;-1;0
159;20.99;14;47;Male;English;0;39;0;0
160;NA;10;31;Male;English;0;39;1;0
161;40.32;14;42;Male;English;0;40;-2;0
162;8.2;14;19;Male;English;0;40;-1;0
163;11;13;27;Female;English;0;40;0;0
164;15;12.5;30;Male;English;0;40;1;0
165;NA;10;52;Female;English;0;41;-2;0
166;40.8;20;60;Male;English;0;41;-1;0
167;8;12;51;Female;English;0;41;0;0
168;14.5;10.5;45;Female;English;0;41;1;0
169;9;13;31;Female;English;0;42;-2;0
170;14.4;8.5;51;Male;English;0;42;-1;0
171;NA;5;79;Male;Other;0;42;0;0
172;NA;12;60;Female;Other;0;42;1;0
173;12;11;53;Female;French;0;43;-2;0
174;NA;8;55;Female;English;0;43;-1;0
175;NA;15.5;53;Female;English;0;43;0;0
176;7;14.3;18;Male;English;0;43;1;0
177;NA;6;73;Female;Other;0;44;-2;0
178;25.92;18;48;Male;English;0;44;-1;0
179;NA;13;60;Female;English;0;44;0;0
180;NA;9;69;Female;English;0;44;1;0
181;NA;12;18;Male;English;0;45;-2;0
182;25.44;11;41;Male;English;0;45;-1;0
183;10;12.1;34;Female;English;0;45;0;0
184;12.97;15.1;56;Male;English;0;45;1;0
185;7;14;19;Male;English;0;46;-2;0
186;NA;14;33;Female;English;0;46;-1;0
187;NA;11;43;Male;English;0;46;0;0
188;8.89;12;18;Female;English;0;46;1;0
189;21.57;9;41;Male;Other;0;47;-2;0
190;NA;16;74;Female;English;0;47;-1;0
191;10.4;NA;55;Female;English;0;47;0;0
192;NA;4;62;Male;Other;0;47;1;0
193;20.61;12.5;40;Male;French;0;48;-2;0
194;11.11;11;41;Male;Other;0;48;-1;0
195;NA;7;50;Female;English;0;48;0;0
196;NA;8;79;Female;English;0;48;1;0
197;NA;16;86;Male;English;0;49;-2;0
198;NA;5;83;Male;Other;0;49;-1;0
199;22.13;14;55;Male;English;0;49;0;0
200;NA;8;72;Female;English;0;49;1;0
201;13.5;17;30;Male;English;0;50;-2;0
202;13.29;NA;29;Female;NA;0;50;-1;0
203;NA;12;53;Female;English;0;50;0;0
204;NA;12;50;Female;Other;0;50;1;0
205;NA;8;64;Female;English;0;51;-2;0
206;21.56;19.1;32;Male;English;0;51;-1;0
207;NA;12.5;30;Female;English;0;51;0;0
208;6.75;10;16;Male;Other;0;51;1;0
209;NA;14.1;23;Female;English;0;52;-2;0
210;NA;8;62;Female;French;0;52;-1;0
211;9;14;68;Female;English;0;52;0;0
212;NA;14.6;35;Male;English;0;52;1;0
213;13;14.8;25;Female;Other;0;53;-2;0
214;NA;12;45;Female;English;0;53;-1;0
215;5.54;18;23;Male;English;0;53;0;0
216;6.48;11;17;Male;English;0;53;1;0
217;40.8;16.8;39;Male;English;0;54;-2;0
218;NA;17;67;Male;English;0;54;-1;0
219;13.01;10.5;39;Female;English;0;54;0;0
220;NA;11;51;Male;Other;0;54;1;0
221;19.17;17;49;Male;English;0;55;-2;0
222;NA;13;32;Male;English;0;55;-1;0
223;NA;11.5;83;Female;English;0;55;0;0
224;25.75;12.5;31;Male;English;0;55;1;0
225;30;20;39;Male;English;0;56;-2;0
226;NA;12.5;42;Male;English;0;56;-1;0
227;NA;7;60;Male;French;0;56;0;0
228;9.25;10;40;Female;English;0;56;1;0
229;5.76;10;17;Male;English;0;57;-2;0
230;3.75;11;17;Male;English;0;57;-1;0
231;40.96;10.5;54;Male;English;0;57;0;0
232;21.39;18;41;Female;English;0;57;1;0
233;NA;15;74;Female;English;0;58;-2;0
234;NA;13;67;Female;NA;0;58;-1;0
235;3.12;17.5;24;Male;Other;0;58;0;0
236;NA;11;42;Male;English;0;58;1;0
237;NA;10.5;37;Male;English;0;59;-2;0
238;14.96;16.1;28;Female;English;0;59;-1;0
239;NA;11;55;Female;English;0;59;0;0
240;12.55;13;37;Male;Other;0;59;1;0
241;6.75;15.5;21;Female;English;0;60;-2;0
242;10.56;11.8;21;Male;English;0;60;-1;0
243;10.75;12.1;18;Male;English;0;60;0;0
244;NA;10;72;Female;English;0;60;1;0
245;5.17;17.3;34;Female;English;0;61;-2;0
246;NA;17;46;Male;English;0;61;-1;0
247;NA;10;62;Female;English;0;61;0;0
248;19.15;13;50;Male;English;0;61;1;0
249;NA;11;32;Female;English;0;62;-2;0
250;35.66;20;48;Male;Other;0;62;-1;0
251;9.85;13.9;20;Male;English;0;62;0;0
252;27.8;12;34;Female;English;0;62;1;0
253;13.12;12;31;Male;English;0;63;-2;0
254;41.38;11.1;44;Male;Other;0;63;-1;0
255;31.5;15;42;Male;English;0;63;0;0
256;15;17;58;Female;English;0;63;1;0
257;14.85;13;38;Male;French;0;64;-2;0
258;19.2;14;28;Male;French;0;64;-1;0
259;7.31;11;63;Female;English;0;64;0;0
260;13.88;12;33;Female;Other;0;64;1;0
261;NA;13.5;70;Female;English;0;65;-2;0
262;NA;10;16;Female;English;0;65;-1;0
263;16;11;57;Female;English;0;65;0;0
264;7.52;11.6;19;Male;English;0;65;1;0
